Id	BJ5	BJ7	BJ8	BJ9	BJ10	BJ1	BJ2	BJ3	BJ4	BJ6	norm.BJ5	norm.BJ7	norm.BJ8	norm.BJ9	norm.BJ10	norm.BJ1	norm.BJ2	norm.BJ3	norm.BJ4	norm.BJ6	baseMean	M	F	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENST00000534719	1630	1583	1201	1027	880	2421	2634	1843	3165	3522	1589	1654	1258	1014	980	2315	2464	1720	2809	3325	1912.64	1299	2527	1.472	0.558	3.835	0.000125414747735533	0.0335727601234078	0.0563	0.2066	0.0747	0.0747	TRUE	0.1243
ENST00000585285	44	28	48	41	46	99	76	85	97	69	43	29	50	40	51	95	71	79	86	65	61.04	43	79	1.443	0.529	3.821	0.000132718213887085	0.0338412896969651	0.0127	0.2464	0.0472	0.0472	TRUE	0.241
ENST00000372068	6	11	15	12	21	30	49	47	31	39	6	11	16	12	23	29	46	44	28	37	25.1	14	37	1.52	0.604	3.8	0.000144428190909819	0.0357446147200772	0.0633	0.3053	0.1193	0.1193	TRUE	0.3351
ENST00000521804	26	13	24	25	23	43	42	52	51	64	25	14	25	25	26	41	39	49	45	60	34.9	23	47	1.47	0.556	3.772	0.000162079957897985	0.0380564574246569	0.0096	0.2772	0.0582	0.0582	TRUE	0.2989
ENST00000616743	3	3	0	2	3	99	68	0	2	82	3	3	0	2	3	95	64	0	2	77	24.88	2	48	1.819	0.863	3.771	0.000162473249659281	0.0380564574246569	1.9404	0.3062	1.3868	1.3868	TRUE	0.0301
ENST00000522760	18	13	25	36	11	36	64	52	71	63	18	14	26	36	12	34	60	49	63	59	37.04	21	53	1.485	0.57	3.737	0.000186096151144037	0.0428249686764269	0.0808	0.2731	0.1193	0.1193	TRUE	0.8625
ENST00000302228	2	0	0	1	0	0	9	13	59	17	2	0	0	1	0	0	8	12	52	16	9.19	1	18	1.651	0.723	3.684	0.000229262329551688	0.0466990134894985	1.79	0.4786	1.2274	1.2274	TRUE	0.4729
ENST00000491824	14	7	7	6	4	21	21	18	27	27	14	7	7	6	4	20	20	17	24	25	14.46	8	21	1.455	0.541	3.689	0.000225542030565105	0.0466990134894985	0	0.3789	0.0959	0.0959	TRUE	0.5611
ENST00000376745	101	134	126	121	151	239	237	243	229	192	98	140	132	119	168	229	222	227	203	181	171.94	131	212	1.326	0.407	3.661	0.000251186827114183	0.0476453774927511	0.0159	0.2199	0.0368	0.0368	TRUE	0.2466
ENST00000261167	16	13	10	15	7	25	34	33	29	28	16	14	10	15	8	24	32	31	26	26	20.09	13	28	1.435	0.522	3.647	0.000265432994029898	0.0485654657073685	0	0.3303	0.0608	0.0608	TRUE	0.162
